0.25,17,1.0175,0.84378,0.17284,0.25,17,1.1357,0.63784,0.20451
0.3,1,1.0964,0.84378,0.074074,0.3,1,1.1352,0.64329,0.20265
0.3,2,1.1495,0.79288,0.074074,0.3,2,1.1354,0.66054,0.20083
0.3,3,1.1315,0.78586,0.074074,0.3,3,1.1353,0.6627,0.19907
0.3,4,1.0484,0.79288,0.074074,0.3,4,1.1341,0.66667,0.19736
0.3,5,1.0045,0.8,0.074074,0.3,5,1.1324,0.67061,0.1957
0.3,6,1.0024,0.78586,0.074074,0.3,6,1.1306,0.67369,0.19407
0.3,7,0.98324,0.7861,0.08642,0.3,7,1.1287,0.67509,0.19266
0.3,8,0.97678,0.78586,0.098765,0.3,8,1.1267,0.68238,0.19144
0.3,9,1.0139,0.84378,0.11111,0.3,9,1.1253,0.68422,0.19041
0.3,10,1.0175,0.83499,0.1358,0.3,10,1.1239,0.6868,0.18972
0.3,11,1.0147,0.79288,0.1358,0.3,11,1.1225,0.68745,0.18904
0.3,12,1.0121,0.78586,0.1358,0.3,12,1.1212,0.69088,0.18839
0.3,13,1.0013,0.77453,0.11111,0.3,13,1.1197,0.69528,0.18744
0.3,14,0.97801,0.77453,0.12346,0.3,14,1.118,0.69565,0.18667
0.3,15,1.0397,0.77681,0.12346,0.3,15,1.1171,0.69932,0.18592
0.3,16,1.0223,0.78586,0.1358,0.3,16,1.116,0.69952,0.18533
0.3,17,1.0189,0.78586,0.1358,0.3,17,1.1148,0.69952,0.18475
0.35,1,1.076,0.82795,0.08642,0.35,1,1.1144,0.70169,0.18362
0.35,2,1.0965,0.81969,0.08642,0.35,2,1.1142,0.70499,0.18252
0.35,3,1.104,0.81969,0.08642,0.35,3,1.1141,0.71352,0.18144
0.35,4,1.049,0.82127,0.061728,0.35,4,1.1133,0.71606,0.18011
0.35,5,1.0082,0.82795,0.074074,0.35,5,1.1122,0.71898,0.17894
0.35,6,1.0209,0.82127,0.074074,0.35,6,1.1112,0.721,0.1778
0.35,7,1.0099,0.82127,0.049383,0.35,7,1.1101,0.72174,0.17642
0.35,8,0.99745,0.81969,0.074074,0.35,8,1.1089,0.7265,0.17533
0.35,9,1.0335,0.82795,0.061728,0.35,9,1.1081,0.7279,0.17414
0.35,10,1.0446,0.82795,0.08642,0.35,10,1.1075,0.72971,0.17323
0.35,11,1.0412,0.82127,0.074074,0.35,11,1.1068,0.73152,0.1722
0.35,12,1.0327,0.81969,0.074074,0.35,12,1.106,0.73235,0.1712
0.35,13,1.0303,0.78999,0.074074,0.35,13,1.1053,0.73273,0.17022
0.35,14,1.002,0.78943,0.074074,0.35,14,1.1042,0.7334,0.16926
0.35,15,1.0098,0.78943,0.074074,0.35,15,1.1033,0.73473,0.16832
0.35,16,0.9847,0.78943,0.098765,0.35,16,1.1021,0.73627,0.16763
0.35,17,1.0243,0.78943,0.098765,0.35,17,1.1014,0.73627,0.16697
0.4,1,1.0459,0.82795,0.11111,0.4,1,1.1008,0.74228,0.16643
0.4,2,1.0388,0.80783,0.12346,0.4,2,1.1002,0.74228,0.16602
0.4,3,1.0231,0.80783,0.1358,0.4,3,1.0995,0.74228,0.16573
0.4,4,0.9751,0.81989,0.098765,0.4,4,1.0984,0.74547,0.16511
0.4,5,0.93661,0.82127,0.11111,0.4,5,1.0969,0.74603,0.16461
0.4,6,0.92988,0.81989,0.11111,0.4,6,1.0953,0.74653,0.16412
0.4,7,0.90494,0.81989,0.098765,0.4,7,1.0936,0.74719,0.16352
0.4,8,0.90854,0.80783,0.098765,0.4,8,1.0919,0.74998,0.16294
0.4,9,0.90528,0.81989,0.098765,0.4,9,1.0903,0.75132,0.16237
0.4,10,0.89927,0.81989,0.11111,0.4,10,1.0886,0.75393,0.16191
0.4,11,0.89288,0.80783,0.098765,0.4,11,1.0868,0.75611,0.16136
0.4,12,0.92493,0.80783,0.098765,0.4,12,1.0854,0.75644,0.16082
0.4,13,0.92513,0.78292,0.098765,0.4,13,1.0841,0.75718,0.16028
0.4,14,0.90964,0.78292,0.098765,0.4,14,1.0826,0.75793,0.15976
0.4,15,0.91,0.78292,0.098765,0.4,15,1.0811,0.759,0.15924
0.4,16,0.88844,0.78292,0.12346,0.4,16,1.0795,0.759,0.15894
0.4,17,0.889,0.78292,0.12346,0.4,17,1.0779,0.759,0.15864
0.45,1,0.83376,0.77089,0.11111,0.45,1,1.0759,0.759,0.15825
0.45,2,0.87629,0.76065,0.12346,0.45,2,1.0742,0.759,0.15796
0.45,3,0.86013,0.76065,0.12346,0.45,3,1.0725,0.759,0.15768
0.45,4,0.83356,0.76542,0.098765,0.45,4,1.0706,0.759,0.15721
0.45,5,0.81102,0.77089,0.11111,0.45,5,1.0685,0.759,0.15684
0.45,6,0.80921,0.76542,0.11111,0.45,6,1.0664,0.759,0.15648
0.45,7,0.79835,0.77089,0.11111,0.45,7,1.0643,0.759,0.15612
0.45,8,0.81057,0.76542,0.11111,0.45,8,1.0624,0.75933,0.15577
0.45,9,0.81342,0.76542,0.11111,0.45,9,1.0604,0.75966,0.15542
0.45,10,0.79485,0.76542,0.11111,0.45,10,1.0584,0.76003,0.15508
0.45,11,0.79468,0.76542,0.11111,0.45,11,1.0564,0.7604,0.15475
0.45,12,0.82818,0.76065,0.11111,0.45,12,1.0546,0.7604,0.15441
0.45,13,0.80747,0.74575,0.11111,0.45,13,1.0528,0.75966,0.15409
0.45,14,0.79947,0.74575,0.11111,0.45,14,1.0509,0.75933,0.15377
0.45,15,0.80458,0.75046,0.11111,0.45,15,1.0491,0.759,0.15345
0.45,16,0.78652,0.74603,0.1358,0.45,16,1.0471,0.759,0.15332
0.45,17,0.7887,0.74575,0.1358,0.45,17,1.0452,0.759,0.15319
0.5,1,0.8425,0.75823,0.12346,0.5,1,1.0438,0.759,0.15298
0.5,2,0.88602,0.75698,0.1358,0.5,2,1.0426,0.759,0.15286
0.5,3,0.87035,0.75698,0.1358,0.5,3,1.0414,0.759,0.15273
0.5,4,0.84138,0.75806,0.12346,0.5,4,1.04,0.759,0.15253
0.5,5,0.82112,0.75823,0.12346,0.5,5,1.0385,0.759,0.15232
0.5,6,0.81987,0.75806,0.12346,0.5,6,1.0369,0.759,0.15212
0.5,7,0.8084,0.75823,0.12346,0.5,7,1.0353,0.759,0.15192
0.5,8,0.82136,0.75806,0.12346,0.5,8,1.0339,0.75823,0.15172
0.5,9,0.818,0.75806,0.12346,0.5,9,1.0324,0.75823,0.15153
0.5,10,0.79923,0.75698,0.12346,0.5,10,1.0308,0.75823,0.15134
0.5,11,0.79908,0.75698,0.12346,0.5,11,1.0292,0.75823,0.15115
0.5,12,0.79825,0.75698,0.12346,0.5,12,1.0277,0.75823,0.15097
0.5,13,0.78407,0.75092,0.12346,0.5,13,1.0261,0.75814,0.15078
0.5,14,0.77804,0.75092,0.12346,0.5,14,1.0244,0.75806,0.1506
0.5,15,0.77504,0.72795,0.12346,0.5,15,1.0228,0.75806,0.15042
0.5,16,0.76776,0.72795,0.1358,0.5,16,1.0211,0.75806,0.15033
0.5,17,0.76935,0.71107,0.1358,0.5,17,1.0195,0.75806,0.15023
0.55,1,0.69404,0.7107,0.1358,0.55,1,1.0174,0.75793,0.15014
0.55,2,0.68509,0.70199,0.1358,0.55,2,1.0152,0.75698,0.15005
0.55,3,0.68908,0.70199,0.1358,0.55,3,1.0132,0.75698,0.14996
0.55,4,0.69182,0.7107,0.1358,0.55,4,1.0111,0.75698,0.14987
0.55,5,0.69351,0.7107,0.1358,0.55,5,1.0091,0.75644,0.14978
0.55,6,0.69505,0.7107,0.1358,0.55,6,1.0072,0.75577,0.14969
0.55,7,0.69307,0.7107,0.1358,0.55,7,1.0052,0.75543,0.14961
0.55,8,0.69075,0.7107,0.1358,0.55,8,1.0033,0.75543,0.14952
0.55,9,0.6948,0.7107,0.1358,0.55,9,1.0014,0.75543,0.14944
0.55,10,0.69416,0.7107,0.1358,0.55,10,0.99951,0.75543,0.14935
0.55,11,0.69901,0.7107,0.1358,0.55,11,0.99769,0.75543,0.14927
0.55,12,0.70464,0.7107,0.1358,0.55,12,0.99593,0.75532,0.14919
0.55,13,0.70265,0.7107,0.1358,0.55,13,0.99417,0.75532,0.14911
0.55,14,0.7026,0.7107,0.1358,0.55,14,0.99243,0.75532,0.14903
0.55,15,0.70135,0.7107,0.1358,0.55,15,0.99071,0.75532,0.14895
0.55,16,0.69255,0.7107,0.14815,0.55,16,0.98896,0.75472,0.14895
0.55,17,0.70352,0.7107,0.1358,0.55,17,0.98729,0.75412,0.14887
0.6,1,0.64972,0.63191,0.16049,0.6,1,0.98533,0.75412,0.14894
0.6,2,0.64972,0.63191,0.16049,0.6,2,0.98339,0.75393,0.149
0.6,3,0.64972,0.63191,0.16049,0.6,3,0.98147,0.75132,0.14907
0.6,4,0.64972,0.63191,0.16049,0.6,4,0.97957,0.75092,0.14914
0.6,5,0.64972,0.63191,0.16049,0.6,5,0.9777,0.75092,0.1492
0.6,6,0.64972,0.63191,0.16049,0.6,6,0.97585,0.75046,0.14926
0.6,7,0.64972,0.63191,0.16049,0.6,7,0.97401,0.75046,0.14933
0.6,8,0.64972,0.63191,0.16049,0.6,8,0.9722,0.74998,0.14939
0.6,9,0.64972,0.63191,0.16049,0.6,9,0.97041,0.74653,0.14945
0.6,10,0.64972,0.63191,0.16049,0.6,10,0.96864,0.74653,0.14951
0.6,11,0.64972,0.63191,0.16049,0.6,11,0.96689,0.74653,0.14957
0.6,12,0.64972,0.63191,0.16049,0.6,12,0.96515,0.74603,0.14963
0.6,13,0.64972,0.63191,0.16049,0.6,13,0.96344,0.74575,0.14969
0.6,14,0.64972,0.63191,0.16049,0.6,14,0.96174,0.74575,0.14975
0.6,15,0.64972,0.63191,0.16049,0.6,15,0.96006,0.74547,0.14981
0.6,16,0.64588,0.63101,0.16049,0.6,16,0.95838,0.74547,0.14986
0.6,17,0.64616,0.63101,0.16049,0.6,17,0.95672,0.74547,0.14992
0.65,1,0.62351,0.54487,0.20988,0.65,1,0.95496,0.74505,0.15024
0.65,2,0.62351,0.54487,0.20988,0.65,2,0.95322,0.74228,0.15055
0.65,3,0.62351,0.54487,0.20988,0.65,3,0.95149,0.73826,0.15086
0.65,4,0.62351,0.54487,0.20988,0.65,4,0.94978,0.73453,0.15117
0.65,5,0.62351,0.54487,0.20988,0.65,5,0.94809,0.73433,0.15147
0.65,6,0.62351,0.54487,0.20988,0.65,6,0.94642,0.73393,0.15178
0.65,7,0.62351,0.54487,0.20988,0.65,7,0.94476,0.73369,0.15207
0.65,8,0.62351,0.54487,0.20988,0.65,8,0.94312,0.73369,0.15237
0.65,9,0.62351,0.54487,0.20988,0.65,9,0.9415,0.73235,0.15266
0.65,10,0.62351,0.54487,0.20988,0.65,10,0.93989,0.73175,0.15295
0.65,11,0.62351,0.54487,0.20988,0.65,11,0.9383,0.73152,0.15324
0.65,12,0.62351,0.54487,0.20988,0.65,12,0.93673,0.73152,0.15352
0.65,13,0.62351,0.54487,0.20988,0.65,13,0.93517,0.73152,0.1538
0.65,14,0.62351,0.54487,0.20988,0.65,14,0.93363,0.72795,0.15408
0.65,15,0.62351,0.54487,0.20988,0.65,15,0.9321,0.7279,0.15435
0.65,16,0.62351,0.54487,0.20988,0.65,16,0.93059,0.72596,0.15462
0.65,17,0.62351,0.54487,0.20988,0.65,17,0.92909,0.72596,0.15489
0.7,1,0.62553,0.53206,0.23457,0.7,1,0.92762,0.72589,0.15528
0.7,2,0.62553,0.53206,0.23457,0.7,2,0.92616,0.72254,0.15566
0.7,3,0.62553,0.53206,0.23457,0.7,3,0.92471,0.72216,0.15604
0.7,4,0.62553,0.53206,0.23457,0.7,4,0.92328,0.72174,0.15642
0.7,5,0.62553,0.53206,0.23457,0.7,5,0.92186,0.72174,0.15679
0.7,6,0.62553,0.53206,0.23457,0.7,6,0.92046,0.72003,0.15716
0.7,7,0.62553,0.53206,0.23457,0.7,7,0.91907,0.71606,0.15752
0.7,8,0.62553,0.53206,0.23457,0.7,8,0.91769,0.71383,0.15789
0.7,9,0.62553,0.53206,0.23457,0.7,9,0.91632,0.71383,0.15824
0.7,10,0.62553,0.53206,0.23457,0.7,10,0.91497,0.71352,0.1586
0.7,11,0.62553,0.53206,0.23457,0.7,11,0.91363,0.71342,0.15895
0.7,12,0.62553,0.53206,0.23457,0.7,12,0.9123,0.71342,0.1593
0.7,13,0.62553,0.53206,0.23457,0.7,13,0.91099,0.71288,0.15964
0.7,14,0.62553,0.53206,0.23457,0.7,14,0.90969,0.71288,0.15999
0.7,15,0.62553,0.53206,0.23457,0.7,15,0.90839,0.71107,0.16033
0.7,16,0.62553,0.53206,0.23457,0.7,16,0.90711,0.7107,0.16066
0.7,17,0.62553,0.53206,0.23457,0.7,17,0.90585,0.7107,0.16099
0.75,1,0.67933,0.54987,0.25926,0.75,1,0.90483,0.7097,0.16143
