1,1.0762,0.59956,0.28395,1,1,1,0
2,1.1448,0.51173,0.23457,2,1.0465,0.53567,0.23457
3,1.0146,0.46332,0.23457,3,2.4137,1.2754,0.11111
4,1.0083,0.42208,0.28395,4,4.2352,2.54,0.024691
5,1.0215,0.46749,0.25926,5,6.0445,4.127,0.012346
6,1.0252,0.45498,0.24691,6,7.9514,5.5842,0.012346
7,1.0251,0.50006,0.25926,7,9.7844,7.2036,0
8,1.0003,0.48412,0.28395,8,11.491,8.4325,0.012346
9,1.0553,0.49563,0.2716,9,13.626,9.4938,0.012346
10,1.0737,0.4768,0.2716,10,15.573,10.739,0
11,1.0657,0.4642,0.2716,11,17.404,11.932,0
12,1.0398,0.49652,0.24691,12,18.939,13.562,0
13,1.0328,0.4936,0.25926,13,20.645,14.636,0
14,1.0065,0.47739,0.28395,14,22.234,15.53,0
15,1.0065,0.51869,0.28395,15,23.926,17.04,0
16,1.0111,0.48166,0.25926,16,25.712,18.416,0
17,1.01,0.51257,0.24691,17,27.463,19.699,0
18,1.0163,0.48778,0.24691,18,29.337,20.913,0
19,1.0265,0.5097,0.24691,19,31.314,23.437,0
20,1.0263,0.49348,0.24691,20,33.09,25.403,0
21,1.0277,0.47006,0.23457,21,34.909,25.904,0
22,1.0249,0.48329,0.25926,22,36.646,26.72,0
23,1.021,0.48371,0.25926,23,38.39,27.494,0
24,1.019,0.48248,0.25926,24,40.149,28.275,0
25,1.0159,0.51526,0.28395,25,41.809,29.43,0
