1,1.3853,0.54595,0.2716,1,1.3853,0.54595,0.2716
2,1.2873,0.55244,0.2716,2,1.322,0.5192,0.2716
3,1.2195,0.6104,0.23457,3,1.2591,0.60186,0.23457
4,1.1226,0.60111,0.18519,4,1.1764,0.5536,0.22222
5,1.1738,0.53514,0.20988,5,1.2112,0.5475,0.19753
6,1.1622,0.53099,0.24691,6,1.1871,0.51895,0.22222
7,1.1352,0.49805,0.19753,7,1.1656,0.50338,0.22222
8,1.1157,0.5028,0.20988,8,1.1499,0.51117,0.23457
9,1.1384,0.53291,0.25926,9,1.1596,0.53346,0.2716
10,1.1191,0.5317,0.2716,10,1.1469,0.51883,0.2963
11,1.0909,0.5565,0.2716,11,1.1202,0.52111,0.2963
12,1.0825,0.53607,0.2716,12,1.1094,0.49387,0.28395
13,1.1201,0.52601,0.23457,13,1.1354,0.5046,0.23457
14,1.1321,0.48367,0.23457,14,1.1418,0.49753,0.25926
15,1.1486,0.53488,0.20988,15,1.1553,0.52833,0.25926
16,1.1577,0.50132,0.18519,16,1.1616,0.50098,0.25926
17,1.1603,0.48488,0.20988,17,1.1598,0.49947,0.25926
